Dataset,C,Class,Accuracy,Precision,F1,Recall
Test,18.5185,0.5,0.70310442144873,0.6938421691034958,0.68390477681318,0.687510517495485
Train,18.5185,0.5,0.7122934453946984,0.701402897922924,0.6908042726856842,0.6932261882580312
Validation,18.5185,0.5,0.7088384177753887,0.6997490979321344,0.6907699248323649,0.694740706824595
