Dataset,C,Class,Accuracy,Precision,F1,Recall
Test,18.5185,0.5,0.7097222222222223,0.6995027061353283,0.6889181585837844,0.691204404842759
Train,18.5185,0.5,0.7069788877895148,0.6955423987803058,0.6849158623280848,0.687006785232612
Validation,18.5185,0.5,0.7145586120100683,0.7047398625972208,0.6941014659992681,0.6964984833996177
