Dataset,C,Class,Accuracy,Precision,F1,Recall
Test,18.5185,0.5,0.6982768704728483,0.6884410516942929,0.6768660024776723,0.6800397997513897
Train,18.5185,0.5,0.709296018327857,0.6994313460327622,0.688378776646257,0.6914475055660562
Validation,18.5185,0.5,0.7095761911189095,0.7012017736022983,0.6885184434999831,0.6913999307219306
