Dataset,C,Class,Accuracy,Precision,F1,Recall
Test,18.5185,0.5,0.7011815252416757,0.6923961052955946,0.6769420658221793,0.6810311268623136
Train,18.5185,0.5,0.7052019896248383,0.6972766918116678,0.6819134042118374,0.6861841281161101
Validation,18.5185,0.5,0.710094432509846,0.7023698505082183,0.6879265763688256,0.6924076684957906
