Dataset,C,Class,Accuracy,Precision,F1,Recall
Test,18.5185,0.5,0.7058791946308725,0.697766996842136,0.6826697413426142,0.6860223925667828
Train,18.5185,0.5,0.709026133471711,0.6985909630524646,0.6854564055480825,0.6886136037468533
Validation,18.5185,0.5,0.7064697986577181,0.6989584602800171,0.6840002376830642,0.6875906182729685
