Dataset,C,Class,Accuracy,Precision,F1,Recall
Test,18.5185,0.5,0.7054025471400927,0.6964161410620869,0.6846952185797515,0.6883224762185236
Train,18.5185,0.5,0.7133266421880283,0.7039073934262514,0.6926963739882538,0.6964651523263407
Validation,18.5185,0.5,0.710064803564196,0.7009983902257056,0.6891479153612418,0.6925528742676186
